"Czas","IP","Akcja","Typ","Kraj","Miasto","ISP","Liczba_prob","Jail"
"2026-07-06 11:37","202.152.201.166","banned","Brute force SSH","Indonesia","Astanajapura","PT. Bakrie Telecom Tbk","5","sshd"
"2026-07-06 11:49","152.32.182.41","banned","Brute force SSH","United States","Reston","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","5","sshd"
"2026-07-06 11:50","101.36.107.233","banned","Brute force SSH","Hong Kong","Hong Kong","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","5","sshd"
"2026-07-06 11:55","154.90.70.254","banned","Brute force SSH","Russia","Moscow","Cloud Innovation","5","sshd"
"2026-07-06 12:42","92.118.39.50","banned","Brute force SSH","United States","Dallas","Unmanaged LTD","5","sshd"
"2026-07-06 17:39","92.118.39.77","banned","Brute force SSH","United States","Dallas","Unmanaged LTD","5","sshd"
"2026-07-06 18:04","189.190.244.176","banned","Brute force SSH","Mexico","Puebla City","UNINET","5","sshd"
"2026-07-06 18:06","190.181.44.194","banned","Brute force SSH","Bolivia","Cochabamba","AXS Bolivia S. A.","5","sshd"
"2026-07-06 19:08","35.211.34.188","banned","Brute force SSH","United States","North Charleston","Google Ireland Limited","5","sshd"
"2026-07-06 19:40","106.38.205.224","banned","Brute force SSH","China","Beijing","IDC, China Telecommunications Corporation","5","sshd"
"2026-07-06 20:15","52.176.211.73","banned","Brute force SSH","United States","Des Moines","Microsoft Corporation","5","sshd"
"2026-07-06 20:45","61.84.211.107","banned","Brute force SSH","South Korea","Anseong","Korea Telecom","5","sshd"
"","62.60.130.219","unbanned","","","","","","sshd"
"","92.27.101.99","unbanned","","","","","","sshd"
"2026-07-06 23:09","20.13.164.162","banned","Brute force SSH","Ireland","Dublin","Microsoft Corporation","5","sshd"
"","59.24.133.197","unbanned","","","","","","sshd"
"","45.148.10.152","unbanned","","","","","","sshd"
"","45.148.10.157","unbanned","","","","","","sshd"
"2026-07-06 23:24","186.103.169.12","banned","Brute force SSH","Chile","San Bernardo","Telefonica Empresas","5","sshd"
"","45.148.10.151","unbanned","","","","","","sshd"
"2026-07-06 23:28","64.226.126.224","banned","Brute force SSH","Germany","Frankfurt am Main","DigitalOcean, LLC","5","sshd"
"","14.248.83.33","unbanned","","","","","","sshd"
"","45.227.254.170","unbanned","","","","","","sshd"
"","107.167.34.125","unbanned","","","","","","sshd"
"","5.187.97.40","unbanned","","","","","","sshd"
"","45.148.10.147","unbanned","","","","","","sshd"
"","2.57.121.112","unbanned","","","","","","sshd"
"","80.94.92.55","unbanned","","","","","","sshd"
"","102.88.137.80","unbanned","","","","","","sshd"
"","152.53.185.81","unbanned","","","","","","sshd"
"","190.181.25.210","unbanned","","","","","","sshd"
"","160.251.233.37","unbanned","","","","","","sshd"
"","38.148.249.2","unbanned","","","","","","sshd"
"","45.148.10.141","unbanned","","","","","","sshd"
"","1.214.42.172","unbanned","","","","","","sshd"
"","102.54.246.130","unbanned","","","","","","sshd"
"","1.2.3.4","unbanned","","","","","","apache-envfile"
"","103.163.117.83","unbanned","","","","","","sshd"
"","115.178.75.242","unbanned","","","","","","sshd"
"","117.81.212.152","unbanned","","","","","","sshd"
"","118.37.214.187","unbanned","","","","","","sshd"
"","125.124.226.217","unbanned","","","","","","sshd"
"","125.212.244.35","unbanned","","","","","","sshd"
"","135.235.138.43","unbanned","","","","","","sshd"
"","139.99.74.35","unbanned","","","","","","sshd"
"","152.53.42.70","unbanned","","","","","","sshd"
"","157.10.182.14","unbanned","","","","","","sshd"
"","158.51.96.38","unbanned","","","","","","sshd"
"","160.191.244.158","unbanned","","","","","","sshd"
"","160.22.170.237","unbanned","","","","","","sshd"
